Year,Location,Vehicle_Type,Count
2015,EDSA (BUENDIA AVE),Tricycle,20.0
2015,KATIPUNAN / C.P. GARCIA,Tricycle,4.0
2015,ROXAS BLVD.,Tricycle,38.0
2015,TAFT AVE.,Tricycle,582.0
2015,SSH,Tricycle,33.0
2015,SHAW BLVD.,Tricycle,4.0
2015,ORTIGAS AVE.,Tricycle,9.0
2015,MAGSAYSAY BLVD.,Tricycle,1107.0
2015,AURORA BLVD.,Tricycle,697.0
2015,QUEZON AVE.,Tricycle,121.0
2015,COMMONWEALTH AVE.,Tricycle,890.0
2015,A. BONIFACIO,Tricycle,1859.0
2015,RIZAL AVE.,Tricycle,2579.0
2015,DEL PAN,Tricycle,
2015,MARCOS HWY.,Tricycle,178.0
2015,MCARTHUR HWY.,Tricycle,533.0
2015,TOTAL,Tricycle,16840.0
2015,RECTO,Total,70506
2015,MENDOZA,Total,91842
2015,PRES. QUIRINO,Total,119824
2015,ARANETA AVE.,Total,89720
2015,EDSA (BUENDIA AVE),Total,367675
2015,KATIPUNAN / C.P. GARCIA,Total,194119
2015,ROXAS BLVD.,Total,173195
2015,TAFT AVE.,Total,91185
2015,SSH,Total,126667
2015,SHAW BLVD.,Total,95236
2015,ORTIGAS AVE.,Total,121433
2015,MAGSAYSAY BLVD.,Total,99813
2015,AURORA BLVD.,Total,93706
2015,QUEZON AVE.,Total,186321
2015,COMMONWEALTH AVE.,Total,259195
2015,A. BONIFACIO,Total,57897
2015,RIZAL AVE.,Total,70395
2015,DEL PAN,Total,0
2015,MARCOS HWY.,Total,173015
2015,MCARTHUR HWY.,Total,82170
2015,TOTAL,Total,2563814
2016,RECTO,Car,26154
2016,MENDOZA,Car,51410
2016,PRES. QUIRINO,Car,43654
2016,ARANETA AVE.,Car,71317
2016,EDSA,Car,278657
2016,KATIPUNAN / C.P. GARCIA,Car,154037
2016,ROXAS BLVD.,Car,133664
2016,TAFT AVE.,Car,54047
2016,SSH,Car,68844
2016,SHAW BLVD.,Car,63066
2016,ORTIGAS AVE.,Car,88628
2016,MAGSAYSAY BLVD.,Car,59550
2016,AURORA BLVD.,Car,57070
2016,QUEZON AVE.,Car,140311
2016,COMMONWEALTH AVE.,Car,181266
2016,A. BONIFACIO,Car,28739
2016,RIZAL AVE.,Car,29734
2016,DEL PAN,Car,31211
2016,MARCOS HWY.,Car,95837
2016,MCARTHUR HWY.,Car,31034
2016,RECTO,PUJ,13454
2016,MENDOZA,PUJ,46
2016,PRES. QUIRINO,PUJ,1998
2016,ARANETA AVE.,PUJ,7277
2016,EDSA,PUJ,2723
2016,KATIPUNAN / C.P. GARCIA,PUJ,950
2016,ROXAS BLVD.,PUJ,130
2016,TAFT AVE.,PUJ,13069
2016,SSH,PUJ,0
2016,SHAW BLVD.,PUJ,8734
2016,ORTIGAS AVE.,PUJ,15557
2016,MAGSAYSAY BLVD.,PUJ,5677
2016,AURORA BLVD.,PUJ,14942
2016,QUEZON AVE.,PUJ,9056
2016,COMMONWEALTH AVE.,PUJ,16590
2016,A. BONIFACIO,PUJ,4888
2016,RIZAL AVE.,PUJ,13420
2016,DEL PAN,PUJ,2356
2016,MARCOS HWY.,PUJ,15402
2016,MCARTHUR HWY.,PUJ,8532
2016,RECTO,PUB,690
2016,MENDOZA,PUB,276
2016,PRES. QUIRINO,PUB,23
2016,ARANETA AVE.,PUB,135
2016,EDSA,PUB,12081
2016,KATIPUNAN / C.P. GARCIA,PUB,373
2016,ROXAS BLVD.,PUB,714
2016,TAFT AVE.,PUB,3575
2016,SSH,PUB,795
2016,SHAW BLVD.,PUB,53
2016,ORTIGAS AVE.,PUB,881
2016,MAGSAYSAY BLVD.,PUB,638
2016,AURORA BLVD.,PUB,67
2016,QUEZON AVE.,PUB,1201
2016,COMMONWEALTH AVE.,PUB,5688
2016,A. BONIFACIO,PUB,1332
2016,RIZAL AVE.,PUB,428
2016,DEL PAN,PUB,582
2016,MARCOS HWY.,PUB,129
2016,MCARTHUR HWY.,PUB,2168
2016,RECTO,Truck,703
2016,MENDOZA,Truck,3462
2016,PRES. QUIRINO,Truck,4135
2016,ARANETA AVE.,Truck,7075
2016,EDSA,Truck,5556
2016,KATIPUNAN / C.P. GARCIA,Truck,12411
2016,ROXAS BLVD.,Truck,926
2016,TAFT AVE.,Truck,543
2016,SSH,Truck,5550
2016,SHAW BLVD.,Truck,1480
2016,ORTIGAS AVE.,Truck,5162
2016,MAGSAYSAY BLVD.,Truck,3125
2016,AURORA BLVD.,Truck,2358
2016,QUEZON AVE.,Truck,4081
2016,COMMONWEALTH AVE.,Truck,6837
2016,A. BONIFACIO,Truck,6554
2016,RIZAL AVE.,Truck,2168
2016,DEL PAN,Truck,4989
2016,MARCOS HWY.,Truck,5431
2016,MCARTHUR HWY.,Truck,2732
2016,RECTO,Trailer,13
2016,MENDOZA,Trailer,265
2016,PRES. QUIRINO,Trailer,599
2016,ARANETA AVE.,Trailer,2358
2016,EDSA,Trailer,2
2016,KATIPUNAN / C.P. GARCIA,Trailer,1101
2016,ROXAS BLVD.,Trailer,1137
2016,TAFT AVE.,Trailer,6
2016,SSH,Trailer,1633
2016,SHAW BLVD.,Trailer,175
2016,ORTIGAS AVE.,Trailer,616
2016,MAGSAYSAY BLVD.,Trailer,491
2016,AURORA BLVD.,Trailer,37
2016,QUEZON AVE.,Trailer,163
2016,COMMONWEALTH AVE.,Trailer,271
2016,A. BONIFACIO,Trailer,321
2016,RIZAL AVE.,Trailer,7
2016,DEL PAN,Trailer,8290
2016,MARCOS HWY.,Trailer,439
2016,MCARTHUR HWY.,Trailer,288
2016,RECTO,MC,16882
2016,MENDOZA,MC,21485
2016,PRES. QUIRINO,MC,20981
2016,ARANETA AVE.,MC,28669
2016,EDSA,MC,26081
2016,KATIPUNAN / C.P. GARCIA,MC,49727
2016,ROXAS BLVD.,MC,38413
2016,TAFT AVE.,MC,17518
2016,SSH,MC,23033
2016,SHAW BLVD.,MC,17807
2016,ORTIGAS AVE.,MC,41958
2016,MAGSAYSAY BLVD.,MC,24426
2016,AURORA BLVD.,MC,31201
2016,QUEZON AVE.,MC,31720
2016,COMMONWEALTH AVE.,MC,60262
2016,A. BONIFACIO,MC,32412
2016,RIZAL AVE.,MC,28538
2016,DEL PAN,MC,20101
2016,MARCOS HWY.,MC,36259
2016,MCARTHUR HWY.,MC,35032
2016,RECTO,Tricycle,5466
2016,MENDOZA,Tricycle,1247
2016,PRES. QUIRINO,Tricycle,257
2016,ARANETA AVE.,Tricycle,651
2016,EDSA,Tricycle,2712
2016,KATIPUNAN / C.P. GARCIA,Tricycle,5
2016,ROXAS BLVD.,Tricycle,201
2016,TAFT AVE.,Tricycle,1090
2016,SSH,Tricycle,68
2016,SHAW BLVD.,Tricycle,5
2016,ORTIGAS AVE.,Tricycle,623
2016,MAGSAYSAY BLVD.,Tricycle,872
2016,AURORA BLVD.,Tricycle,310
2016,QUEZON AVE.,Tricycle,579
2016,COMMONWEALTH AVE.,Tricycle,977
2016,A. BONIFACIO,Tricycle,798
2016,RIZAL AVE.,Tricycle,2000
2016,DEL PAN,Tricycle,2932
2016,MARCOS HWY.,Tricycle,129
2016,MCARTHUR HWY.,Tricycle,293
2016,RECTO,Total,63362
2016,MENDOZA,Total,78551
2016,PRES. QUIRINO,Total,71852
2016,ARANETA AVE.,Total,117482
2016,EDSA,Total,364784
2016,KATIPUNAN / C.P. GARCIA,Total,218155
2016,ROXAS BLVD.,Total,175185
2016,TAFT AVE.,Total,89884
2016,SSH,Total,99923
2016,SHAW BLVD.,Total,85113
2016,ORTIGAS AVE.,Total,153425
2016,MAGSAYSAY BLVD.,Total,94779
2016,AURORA BLVD.,Total,96145
2016,QUEZON AVE.,Total,187111
2016,COMMONWEALTH AVE.,Total,272255
2016,A. BONIFACIO,Total,58470
2016,RIZAL AVE.,Total,76295
2016,DEL PAN,Total,70012
2016,MARCOS HWY.,Total,153626
2016,MCARTHUR HWY.,Total,80879
2017,RECTO,Car,21366
2017,MENDOZA,Car,49430
2017,PRES. QUIRINO AVE.,Car,59647
2017,ARANETA AVE.,Car,40306
2017,EDSA,Car,247527
2017,KATIPUNAN / C.P. GARCIA,Car,133171
2017,ROXAS BLVD.,Car,120524
2017,TAFT AVE.,Car,36558
2017,SSH,Car,65381
2017,SHAW BLVD.,Car,55632
2017,ORTIGAS AVE.,Car,71102
2017,MAGSAYSAY BLVD.,Car,56261
2017,AURORA BLVD.,Car,41620
2017,QUEZON AVE.,Car,113905
2017,COMMONWEALTH AVE.,Car,139951
2017,A. BONIFACIO,Car,28690
2017,RIZAL AVE.,Car,32905
2017,DEL PAN,Car,35955
2017,MARCOS HIGHWAY,Car,90287
2017,MCARTHUR HIGHWAY,Car,29446
2017,TOTAL,Car,1469664
2017,RECTO,PUJ,13134
2017,MENDOZA,PUJ,56
2017,PRES. QUIRINO AVE.,PUJ,1574
2017,ARANETA AVE.,PUJ,1945
2017,EDSA,PUJ,2369
2017,KATIPUNAN / C.P. GARCIA,PUJ,923
2017,ROXAS BLVD.,PUJ,42
2017,TAFT AVE.,PUJ,12152
2017,SSH,PUJ,353
2017,SHAW BLVD.,PUJ,6450
2017,ORTIGAS AVE.,PUJ,12054
2017,MAGSAYSAY BLVD.,PUJ,5952
2017,AURORA BLVD.,PUJ,14707
2017,QUEZON AVE.,PUJ,6868
2017,COMMONWEALTH AVE.,PUJ,15687
2017,A. BONIFACIO,PUJ,3695
2017,RIZAL AVE.,PUJ,12546
2017,DEL PAN,PUJ,1783
2017,MARCOS HIGHWAY,PUJ,14261
2017,MCARTHUR HIGHWAY,PUJ,8752
2017,TOTAL,PUJ,135303
2017,RECTO,UV,2172
2017,MENDOZA,UV,519
2017,PRES. QUIRINO AVE.,UV,454
2017,ARANETA AVE.,UV,14
2017,EDSA,UV,7229
2017,KATIPUNAN / C.P. GARCIA,UV,8424
2017,ROXAS BLVD.,UV,7626
2017,TAFT AVE.,UV,13236
2017,SSH,UV,684
2017,SHAW BLVD.,UV,3496
2017,ORTIGAS AVE.,UV,9344
2017,MAGSAYSAY BLVD.,UV,59
2017,AURORA BLVD.,UV,6701
2017,QUEZON AVE.,UV,12791
2017,COMMONWEALTH AVE.,UV,13165
2017,A. BONIFACIO,UV,222
2017,RIZAL AVE.,UV,83
2017,DEL PAN,UV,186
2017,MARCOS HIGHWAY,UV,4532
2017,MCARTHUR HIGHWAY,UV,25
2017,TOTAL,UV,90980
2017,RECTO,Taxi,4069
2017,MENDOZA,Taxi,5358
2017,PRES. QUIRINO AVE.,Taxi,6852
2017,ARANETA AVE.,Taxi,4207
2017,EDSA,Taxi,20022
2017,KATIPUNAN / C.P. GARCIA,Taxi,7293
2017,ROXAS BLVD.,Taxi,16660
2017,TAFT AVE.,Taxi,5643
2017,SSH,Taxi,6650
2017,SHAW BLVD.,Taxi,4029
2017,ORTIGAS AVE.,Taxi,3723
2017,MAGSAYSAY BLVD.,Taxi,6265
2017,AURORA BLVD.,Taxi,5245
2017,QUEZON AVE.,Taxi,15840
2017,COMMONWEALTH AVE.,Taxi,14400
2017,A. BONIFACIO,Taxi,908
2017,RIZAL AVE.,Taxi,2685
2017,DEL PAN,Taxi,3538
2017,MARCOS HIGHWAY,Taxi,5165
2017,MCARTHUR HIGHWAY,Taxi,4073
2017,TOTAL,Taxi,142625
2017,RECTO,PUB,545
2017,MENDOZA,PUB,213
2017,PRES. QUIRINO AVE.,PUB,99
2017,ARANETA AVE.,PUB,6
2017,EDSA,PUB,12283
2017,KATIPUNAN / C.P. GARCIA,PUB,221
2017,ROXAS BLVD.,PUB,2103
2017,TAFT AVE.,PUB,3749
2017,SSH,PUB,892
2017,SHAW BLVD.,PUB,107
2017,ORTIGAS AVE.,PUB,877
2017,MAGSAYSAY BLVD.,PUB,722
2017,AURORA BLVD.,PUB,57
2017,QUEZON AVE.,PUB,1217
2017,COMMONWEALTH AVE.,PUB,5475
2017,A. BONIFACIO,PUB,1494
2017,RIZAL AVE.,PUB,492
2017,DEL PAN,PUB,73
2017,MARCOS HIGHWAY,PUB,133
2017,MCARTHUR HIGHWAY,PUB,1889
2017,TOTAL,PUB,32647
2017,RECTO,Truck,584
2017,MENDOZA,Truck,5102
2017,PRES. QUIRINO AVE.,Truck,5958
2017,ARANETA AVE.,Truck,4163
2017,EDSA,Truck,8830
2017,KATIPUNAN / C.P. GARCIA,Truck,10121
2017,ROXAS BLVD.,Truck,747
2017,TAFT AVE.,Truck,640
2017,SSH,Truck,5182
2017,SHAW BLVD.,Truck,1054
2017,ORTIGAS AVE.,Truck,5029
2017,MAGSAYSAY BLVD.,Truck,2859
2017,AURORA BLVD.,Truck,3674
2017,QUEZON AVE.,Truck,3664
2017,COMMONWEALTH AVE.,Truck,7872
2017,A. BONIFACIO,Truck,9278
2017,RIZAL AVE.,Truck,2012
2017,DEL PAN,Truck,5686
2017,MARCOS HIGHWAY,Truck,6534
2017,MCARTHUR HIGHWAY,Truck,3208
2017,TOTAL,Truck,91297
2017,RECTO,Trailer,3
2017,MENDOZA,Trailer,731
2017,PRES. QUIRINO AVE.,Trailer,981
2017,ARANETA AVE.,Trailer,607
2017,EDSA,Trailer,2
2017,KATIPUNAN / C.P. GARCIA,Trailer,680
2017,ROXAS BLVD.,Trailer,1111
2017,TAFT AVE.,Trailer,10
2017,SSH,Trailer,2376
2017,SHAW BLVD.,Trailer,126
2017,ORTIGAS AVE.,Trailer,681
2017,MAGSAYSAY BLVD.,Trailer,336
2017,AURORA BLVD.,Trailer,712
2017,QUEZON AVE.,Trailer,244
2017,COMMONWEALTH AVE.,Trailer,518
2017,A. BONIFACIO,Trailer,3915
2017,RIZAL AVE.,Trailer,3
2017,DEL PAN,Trailer,7886
2017,MARCOS HIGHWAY,Trailer,412
2017,MCARTHUR HIGHWAY,Trailer,506
2017,TOTAL,Trailer,21840
2017,RECTO,MC,19551
2017,MENDOZA,MC,21983
2017,PRES. QUIRINO AVE.,MC,27686
2017,ARANETA AVE.,MC,26107
2017,EDSA,MC,69438
2017,KATIPUNAN / C.P. GARCIA,MC,57881
2017,ROXAS BLVD.,MC,42191
2017,TAFT AVE.,MC,18028
2017,SSH,MC,21797
2017,SHAW BLVD.,MC,30724
2017,ORTIGAS AVE.,MC,50769
2017,MAGSAYSAY BLVD.,MC,28878
2017,AURORA BLVD.,MC,25614
2017,QUEZON AVE.,MC,40759
2017,COMMONWEALTH AVE.,MC,74492
2017,A. BONIFACIO,MC,11938
2017,RIZAL AVE.,MC,29449
2017,DEL PAN,MC,23167
2017,MARCOS HIGHWAY,MC,42019
2017,MCARTHUR HIGHWAY,MC,34852
2017,TOTAL,MC,697323
2017,RECTO,Tricycle,3253
2017,MENDOZA,Tricycle,987
2017,PRES. QUIRINO AVE.,Tricycle,1867
2017,ARANETA AVE.,Tricycle,2675
2017,EDSA,Tricycle,28
2017,KATIPUNAN / C.P. GARCIA,Tricycle,19
2017,ROXAS BLVD.,Tricycle,116
2017,TAFT AVE.,Tricycle,570
2017,SSH,Tricycle,62
2017,SHAW BLVD.,Tricycle,6
2017,ORTIGAS AVE.,Tricycle,376
2017,MAGSAYSAY BLVD.,Tricycle,1241
2017,AURORA BLVD.,Tricycle,314
2017,QUEZON AVE.,Tricycle,47
2017,COMMONWEALTH AVE.,Tricycle,1210
2017,A. BONIFACIO,Tricycle,650
2017,RIZAL AVE.,Tricycle,1565
2017,DEL PAN,Tricycle,2011
2017,MARCOS HIGHWAY,Tricycle,169
2017,MCARTHUR HIGHWAY,Tricycle,206
2017,TOTAL,Tricycle,17372
2017,RECTO,Total,64677
2017,MENDOZA,Total,84379
2017,PRES. QUIRINO AVE.,Total,105118
2017,ARANETA AVE.,Total,80330
2017,EDSA,Total,367728
2017,KATIPUNAN / C.P. GARCIA,Total,218751
2017,ROXAS BLVD.,Total,191120
2017,TAFT AVE.,Total,90586
2017,SSH,Total,103375
2017,SHAW BLVD.,Total,101618
2017,ORTIGAS AVE.,Total,153955
2017,MAGSAYSAY BLVD.,Total,102573
2017,AURORA BLVD.,Total,98634
2017,QUEZON AVE.,Total,195335
2017,COMMONWEALTH AVE.,Total,272770
2017,A. BONIFACIO,Total,81740
2017,RIZAL AVE.,Total,81740
2017,DEL PAN,Total,80285
2017,MARCOS HIGHWAY,Total,162562
2017,MCARTHUR HIGHWAY,Total,82957
2017,TOTAL,Total,2699051
2018,RECTO,Car,24537
2018,MENDOZA,Car,56353
2018,PRES. QUIRINO AVE.,Car,65444
2018,ARANETA AVE.,Car,38740
2018,EDSA,Car,251628
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Car,133427
2018,ROXAS BLVD.,Car,129475
2018,TAFT AVE.,Car,37789
2018,SSH,Car,56104
2018,SHAW BLVD.,Car,52128
2018,ORTIGAS AVE.,Car,79128
2018,MAGSAYSAY BLVD.,Car,59811
2018,AURORA BLVD.,Car,37881
2018,QUEZON AVE.,Car,120080
2018,COMMONWEALTH AVE.,Car,131521
2018,A. BONIFACIO,Car,32136
2018,RIZAL AVE.,Car,37404
2018,DEL PAN,Car,32883
2018,MARCOS HIGHWAY,Car,98705
2018,MCARTHUR HIGHWAY,Car,34663
2018,TOTAL,Car,1509837
2018,RECTO,PUJ,10487
2018,MENDOZA,PUJ,94
2018,PRES. QUIRINO AVE.,PUJ,1301
2018,ARANETA AVE.,PUJ,1351
2018,EDSA,PUJ,1940
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,PUJ,1378
2018,ROXAS BLVD.,PUJ,86
2018,TAFT AVE.,PUJ,11974
2018,SSH,PUJ,39
2018,SHAW BLVD.,PUJ,5801
2018,ORTIGAS AVE.,PUJ,10674
2018,MAGSAYSAY BLVD.,PUJ,6089
2018,AURORA BLVD.,PUJ,14975
2018,QUEZON AVE.,PUJ,6230
2018,COMMONWEALTH AVE.,PUJ,12447
2018,A. BONIFACIO,PUJ,2980
2018,RIZAL AVE.,PUJ,11440
2018,DEL PAN,PUJ,1738
2018,MARCOS HIGHWAY,PUJ,13152
2018,MCARTHUR HIGHWAY,PUJ,8398
2018,TOTAL,PUJ,122574
2018,RECTO,UV,2262
2018,MENDOZA,UV,579
2018,PRES. QUIRINO AVE.,UV,353
2018,ARANETA AVE.,UV,19
2018,EDSA,UV,6903
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,UV,6886
2018,ROXAS BLVD.,UV,6366
2018,TAFT AVE.,UV,10737
2018,SSH,UV,384
2018,SHAW BLVD.,UV,3499
2018,ORTIGAS AVE.,UV,8542
2018,MAGSAYSAY BLVD.,UV,159
2018,AURORA BLVD.,UV,8361
2018,QUEZON AVE.,UV,11712
2018,COMMONWEALTH AVE.,UV,12547
2018,A. BONIFACIO,UV,161
2018,RIZAL AVE.,UV,42
2018,DEL PAN,UV,153
2018,MARCOS HIGHWAY,UV,4006
2018,MCARTHUR HIGHWAY,UV,21
2018,TOTAL,UV,83692
2018,RECTO,Taxi,3040
2018,MENDOZA,Taxi,3582
2018,PRES. QUIRINO AVE.,Taxi,5111
2018,ARANETA AVE.,Taxi,3604
2018,EDSA,Taxi,20871
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Taxi,6552
2018,ROXAS BLVD.,Taxi,16387
2018,TAFT AVE.,Taxi,5644
2018,SSH,Taxi,4382
2018,SHAW BLVD.,Taxi,3684
2018,ORTIGAS AVE.,Taxi,3946
2018,MAGSAYSAY BLVD.,Taxi,4776
2018,AURORA BLVD.,Taxi,6047
2018,QUEZON AVE.,Taxi,12142
2018,COMMONWEALTH AVE.,Taxi,15878
2018,A. BONIFACIO,Taxi,881
2018,RIZAL AVE.,Taxi,3062
2018,DEL PAN,Taxi,2839
2018,MARCOS HIGHWAY,Taxi,6797
2018,MCARTHUR HIGHWAY,Taxi,4189
2018,TOTAL,Taxi,137486
2018,RECTO,PUB,1489
2018,MENDOZA,PUB,190
2018,PRES. QUIRINO AVE.,PUB,113
2018,ARANETA AVE.,PUB,10
2018,EDSA,PUB,13356
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,PUB,908
2018,ROXAS BLVD.,PUB,1782
2018,TAFT AVE.,PUB,1429
2018,SSH,PUB,748
2018,SHAW BLVD.,PUB,69
2018,ORTIGAS AVE.,PUB,1115
2018,MAGSAYSAY BLVD.,PUB,756
2018,AURORA BLVD.,PUB,70
2018,QUEZON AVE.,PUB,1397
2018,COMMONWEALTH AVE.,PUB,5608
2018,A. BONIFACIO,PUB,1408
2018,RIZAL AVE.,PUB,370
2018,DEL PAN,PUB,84
2018,MARCOS HIGHWAY,PUB,733
2018,MCARTHUR HIGHWAY,PUB,2034
2018,TOTAL,PUB,35709
2018,RECTO,Truck,558
2018,MENDOZA,Truck,5016
2018,PRES. QUIRINO AVE.,Truck,6248
2018,ARANETA AVE.,Truck,4610
2018,EDSA,Truck,3027
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Truck,12624
2018,ROXAS BLVD.,Truck,992
2018,TAFT AVE.,Truck,692
2018,SSH,Truck,6807
2018,SHAW BLVD.,Truck,1250
2018,ORTIGAS AVE.,Truck,5515
2018,MAGSAYSAY BLVD.,Truck,2821
2018,AURORA BLVD.,Truck,2027
2018,QUEZON AVE.,Truck,4123
2018,COMMONWEALTH AVE.,Truck,5905
2018,A. BONIFACIO,Truck,8662
2018,RIZAL AVE.,Truck,2618
2018,DEL PAN,Truck,5416
2018,MARCOS HIGHWAY,Truck,5351
2018,MCARTHUR HIGHWAY,Truck,2936
2018,TOTAL,Truck,87198
2018,RECTO,Trailer,7
2018,MENDOZA,Trailer,746
2018,PRES. QUIRINO AVE.,Trailer,1043
2018,ARANETA AVE.,Trailer,445
2018,EDSA,Trailer,6
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Trailer,790
2018,ROXAS BLVD.,Trailer,2795
2018,TAFT AVE.,Trailer,4
2018,SSH,Trailer,2872
2018,SHAW BLVD.,Trailer,155
2018,ORTIGAS AVE.,Trailer,638
2018,MAGSAYSAY BLVD.,Trailer,412
2018,AURORA BLVD.,Trailer,38
2018,QUEZON AVE.,Trailer,319
2018,COMMONWEALTH AVE.,Trailer,381
2018,A. BONIFACIO,Trailer,2095
2018,RIZAL AVE.,Trailer,4
2018,DEL PAN,Trailer,8235
2018,MARCOS HIGHWAY,Trailer,369
2018,MCARTHUR HIGHWAY,Trailer,516
2018,TOTAL,Trailer,22470
2018,RECTO,MC,21742
2018,MENDOZA,MC,20673
2018,PRES. QUIRINO AVE.,MC,27239
2018,ARANETA AVE.,MC,30289
2018,EDSA,MC,86082
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,MC,73169
2018,ROXAS BLVD.,MC,45199
2018,TAFT AVE.,MC,20338
2018,SSH,MC,29545
2018,SHAW BLVD.,MC,36486
2018,ORTIGAS AVE.,MC,64245
2018,MAGSAYSAY BLVD.,MC,37237
2018,AURORA BLVD.,MC,33970
2018,QUEZON AVE.,MC,44462
2018,COMMONWEALTH AVE.,MC,60040
2018,A. BONIFACIO,MC,14271
2018,RIZAL AVE.,MC,32959
2018,DEL PAN,MC,28426
2018,MARCOS HIGHWAY,MC,49597
2018,MCARTHUR HIGHWAY,MC,39159
2018,TOTAL,MC,795128
2018,RECTO,Tricycle,2692
2018,MENDOZA,Tricycle,1411
2018,PRES. QUIRINO AVE.,Tricycle,1740
2018,ARANETA AVE.,Tricycle,2151
2018,EDSA,Tricycle,15
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Tricycle,10
2018,ROXAS BLVD.,Tricycle,405
2018,TAFT AVE.,Tricycle,459
2018,SSH,Tricycle,28
2018,SHAW BLVD.,Tricycle,5
2018,ORTIGAS AVE.,Tricycle,677
2018,MAGSAYSAY BLVD.,Tricycle,1666
2018,AURORA BLVD.,Tricycle,94
2018,QUEZON AVE.,Tricycle,67
2018,COMMONWEALTH AVE.,Tricycle,589
2018,A. BONIFACIO,Tricycle,882
2018,RIZAL AVE.,Tricycle,1574
2018,DEL PAN,Tricycle,2483
2018,MARCOS HIGHWAY,Tricycle,164
2018,MCARTHUR HIGHWAY,Tricycle,249
2018,TOTAL,Tricycle,17361
2018,RECTO,Total,66814
2018,MENDOZA,Total,88644
2018,PRES. QUIRINO AVE.,Total,108952
2018,ARANETA AVE.,Total,81219
2018,EDSA,Total,383828
2018,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Total,235744
2018,ROXAS BLVD.,Total,203487
2018,TAFT AVE.,Total,91766
2018,SSH,Total,100909
2018,SHAW BLVD.,Total,103077
2018,ORTIGAS AVE.,Total,174480
2018,MAGSAYSAY BLVD.,Total,113727
2018,AURORA BLVD.,Total,103463
2018,QUEZON AVE.,Total,204604
2018,COMMONWEALTH AVE.,Total,244916
2018,A. BONIFACIO,Total,64076
2018,RIZAL AVE.,Total,89479
2018,DEL PAN,Total,82257
2018,MARCOS HIGHWAY,Total,178214
2018,MCARTHUR HIGHWAY,Total,92165
2018,TOTAL,Total,2811455
2019,RECTO,Car,21909
2019,MENDOZA,Car,50045
2019,PRES. QUIRINO AVE.,Car,63263
2019,ARANETA AVE.,Car,42708
2019,EDSA,Car,255732
2019,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,Car,124426
2019,ROXAS BLVD.,Car,121467
2019,TAFT AVE.,Car,39103
2019,SSH,Car,72648
2019,SHAW BLVD.,Car,50205
2019,ORTIGAS AVE.,Car,70603
2019,MAGSAYSAY BLVD.,Car,56398
2019,AURORA BLVD.,Car,39342
